<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,01/05/15,00:00:00,129.6000000,133.9500000,129.1500000,133.9500000,18208740
GAZP,D,01/06/15,00:00:00,132.9900000,138.9200000,132.7100000,138.9200000,25270920
GAZP,D,01/08/15,00:00:00,140.0600000,147.5000000,140.0000000,146.4600000,32544100
GAZP,D,01/09/15,00:00:00,146.4600000,147.0800000,139.9000000,141.7000000,29501280
GAZP,D,01/12/15,00:00:00,141.3700000,143.4400000,139.7200000,140.2200000,25286750
GAZP,D,01/13/15,00:00:00,140.2000000,143.8100000,139.0000000,142.6400000,32912570
GAZP,D,01/14/15,00:00:00,141.9900000,147.5000000,141.9900000,146.3000000,37809840
GAZP,D,01/15/15,00:00:00,147.5100000,149.8900000,145.5000000,147.0000000,32827500
GAZP,D,01/16/15,00:00:00,145.9900000,150.2000000,145.5000000,149.6000000,32654610
GAZP,D,01/19/15,00:00:00,149.5900000,152.8300000,147.5900000,148.1100000,53463970
GAZP,D,01/20/15,00:00:00,148.3000000,149.7200000,145.7200000,145.7500000,32708420
GAZP,D,01/21/15,00:00:00,146.9000000,149.5100000,145.9200000,148.8000000,29848900
GAZP,D,01/22/15,00:00:00,149.0100000,152.6900000,148.6500000,151.5000000,55798150
GAZP,D,01/23/15,00:00:00,152.3100000,152.9300000,150.3600000,152.8300000,37301630
GAZP,D,01/26/15,00:00:00,151.9400000,152.4600000,146.7500000,148.0000000,28731340
GAZP,D,01/27/15,00:00:00,146.5200000,152.4500000,146.1100000,150.9000000,37723580
GAZP,D,01/28/15,00:00:00,151.3700000,154.4700000,147.5000000,147.7000000,34626110
GAZP,D,01/29/15,00:00:00,147.1900000,149.2000000,144.4900000,145.0000000,33407690
GAZP,D,01/30/15,00:00:00,145.5600000,146.8200000,142.1300000,143.8200000,41065400
GAZP,D,02/02/15,00:00:00,144.7200000,145.2000000,137.4300000,138.1800000,59466380
GAZP,D,02/03/15,00:00:00,139.2200000,142.3000000,138.2500000,140.3500000,40907380
GAZP,D,02/04/15,00:00:00,141.2200000,143.8000000,139.4300000,142.6000000,29493190
GAZP,D,02/05/15,00:00:00,141.9600000,147.7400000,140.3400000,147.6000000,46291340
GAZP,D,02/06/15,00:00:00,148.0000000,152.2000000,147.1300000,151.6000000,54142610
GAZP,D,02/09/15,00:00:00,151.7500000,153.9500000,147.7000000,149.3000000,52241540
GAZP,D,02/10/15,00:00:00,148.8800000,151.9000000,148.0700000,149.3100000,31175990
GAZP,D,02/11/15,00:00:00,150.3000000,153.8300000,149.8800000,150.5500000,41820760
GAZP,D,02/12/15,00:00:00,152.5000000,157.9800000,149.5000000,157.7000000,91156340
GAZP,D,02/13/15,00:00:00,158.2000000,162.7500000,158.1600000,162.4000000,89377400
GAZP,D,02/16/15,00:00:00,162.4000000,163.4400000,158.2000000,160.1900000,29821640
GAZP,D,02/17/15,00:00:00,159.9800000,164.2000000,156.3000000,159.2000000,59447430
GAZP,D,02/18/15,00:00:00,160.5300000,166.9400000,160.4000000,163.0000000,54912720
GAZP,D,02/19/15,00:00:00,163.0300000,165.4400000,157.0700000,160.9000000,50473800
